"Table 1 
National Health Expenditures; Aggregate and Per Capita Amounts, Annual Percent Change and Percent Distribution: Calendar Years 1960-2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
             Personal Health Care,,6.5,7.7,9.2,9.8,8.2,10.4,13.1,13.1,12.8,13.7,10.2,11.2,11.7,14.6,14.6,14.3,13.3,11.9,13.9,15.9,16,12.4,10.2,9.7,10.3,8.8,9.6,11.4,10.5,11.9,9.9,8.3,6.5,5.4,6,5.6,5.6,5.5,5.9,7.2,8.6,8.7,8.1,7.2,7.1,6.6,6.4,4.5,4.9,3.6,3.4,4.1,2.6,5.2,5.9,4.6,4,4.3,5.4,6.3,6.3,5.1,9.4,8.3
             Government Administration and Non-Medical Insurance Expenditures,,8.8,10.8,3.1,13.9,21.6,12.1,3.6,21.1,-6.8,9.1,22.4,34.1,11.2,-6.1,9,37.4,39.5,18.6,7.6,0,16.9,15.8,13.3,27.3,7.1,-10.7,-6.3,27.1,27.2,13.7,2.5,8.3,21.8,7.1,3,3.7,2.3,3.9,9.5,16.5,11.6,24.9,17.7,6.6,6.8,9.9,4.3,-2.6,-0.9,9.3,4.5,3.9,5.1,13.2,4.7,5.5,3.2,13.6,-3.3,21.2,-8.9,7.4,6.7,0.3
             Government Public Health Activities,,10.3,11.5,11.6,12.5,8.5,18.1,17.5,12.6,21.1,15.5,23.6,10.7,14.4,21.7,14.8,8.3,18.7,20.3,17.1,19.9,16.9,14.5,7.3,6.4,13.9,10.5,9.6,12.5,16.4,12.5,10.7,10.1,9.9,10.5,4.8,4.4,7.6,7.5,8.7,5.7,8.7,11.6,3.9,1.3,4.2,6.4,8.3,8.5,3.7,2,-1.7,3.7,5.6,3.6,1.3,5.5,6.4,4,8.8,124.3,-12.1,-2.4,-24.3,-0.3
     Investment,,11.9,21.8,7.3,15.7,9.5,4.3,5.1,12.2,19.2,10.9,13.8,11.9,5.7,9.9,11,10.3,2.5,10.6,10,17.5,14.3,13.6,9.7,5.6,0.7,3.7,10.4,11.8,9.6,11,7.2,9.7,6.6,4.5,3.1,2.3,6.8,9.6,7.5,1.5,5,12.8,7,7.7,7.4,5.9,9.9,6.9,-5.8,3.3,4.4,2.8,0,-2,3.1,2.5,8.4,5.1,2.9,0.8,8.9,2.8,4.2,2.2
U.S. Population1,,1.6,1.5,1.4,1.4,1.2,1,0.9,1,1,1.2,1.2,1,0.8,0.7,0.8,0.8,0.9,0.9,1,1,1,1,0.9,0.9,0.9,1,0.9,1,1,1.1,1.1,1.2,1.1,1,1,1,1.1,1,1,1,0.9,0.9,0.8,0.9,0.9,1,1,1,0.9,0.9,0.8,0.9,0.8,0.9,0.8,0.8,0.7,0.6,0.6,0.4,0.1,0.6,0.8,1
Gross Domestic Product2 ,,3.7,7.4,5.6,7.4,8.4,9.6,5.7,9.4,8.2,5.5,8.5,9.8,11.4,8.4,9,11.2,11.1,13,11.7,8.8,12.2,4.3,8.7,11.1,7.5,5.5,6,7.9,7.7,5.7,3.3,5.9,5.2,6.2,4.8,5.7,6.2,5.7,6.3,6.4,3.2,3.3,4.8,6.6,6.7,6,4.8,2,-2,3.9,3.7,4.2,3.9,4.3,3.9,2.8,4.3,5.3,4.3,-0.8,11,9.8,6.7,5.3
National Health Expenditures (Percent Distribution),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
     Health Consumption Expenditures,90.5,90.1,89,89.1,88.6,88.6,89.1,89.8,89.9,89.3,89.5,89.3,89.3,89.8,90.1,90.4,90.8,91.7,91.8,92,91.9,92,91.9,92,92.3,92.9,93.2,93.1,93.1,93.2,93.2,93.4,93.3,93.3,93.4,93.6,93.7,93.7,93.4,93.4,93.7,93.9,93.8,93.9,93.8,93.8,93.9,93.7,93.5,94.1,94.1,94.1,94.1,94.3,94.7,94.8,94.9,94.7,94.7,94.8,95.2,95,95.1,95.3,95.5
             Personal Health Care,85.3,84.7,83.5,83.8,83.2,82.7,83.1,84,83.8,83.9,84.2,83.4,82.7,83.1,84.1,84.5,84.3,84.1,83.7,84.2,84.6,84.7,84.5,84.4,84.1,84.7,85.8,86.4,85.9,85.2,85.1,85.6,85.5,84.8,84.6,84.9,85.2,85.3,85.1,84.8,84.7,84.7,83.7,83.4,83.5,83.6,83.4,83.3,83.5,84.5,84.2,84.2,84.3,84.2,84.1,84.4,84.4,84.2,83.6,84.2,81,82.7,83,84.5,85.4
             Government Administration and Non-Medical Insurance Expenditures,3.9,4,4,3.8,3.9,4.4,4.5,4.1,4.4,3.7,3.5,3.9,4.6,4.6,3.8,3.7,4.4,5.4,5.7,5.4,4.7,4.7,4.9,5,5.8,5.7,4.7,4,4.6,5.2,5.3,5,5,5.7,5.7,5.6,5.5,5.3,5.3,5.4,5.9,6,6.9,7.4,7.4,7.4,7.6,7.5,7,6.6,7,7.1,7.1,7.2,7.8,7.7,7.8,7.7,8.3,7.7,8.4,7.4,7.6,7.5,7
             Government Public Health Activities,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.8,2,2,2.1,2.2,2.2,2.1,2.2,2.4,2.4,2.5,2.6,2.6,2.5,2.4,2.5,2.6,2.6,2.6,2.8,2.8,2.8,2.9,2.9,3.1,3,3,3.1,3.1,3.2,3.2,3.2,3.2,3.1,2.9,2.8,2.8,2.9,3,3,2.9,2.8,2.8,2.8,2.8,2.7,2.7,2.8,2.7,2.9,5.8,4.9,4.6,3.2,3
     Investment,9.5,9.9,11,10.9,11.4,11.4,10.9,10.2,10.1,10.7,10.5,10.7,10.7,10.2,9.9,9.6,9.2,8.3,8.2,8,8.1,8,8.1,8,7.7,7.1,6.8,6.9,6.9,6.8,6.8,6.6,6.7,6.7,6.6,6.4,6.3,6.3,6.6,6.6,6.3,6.1,6.2,6.1,6.2,6.2,6.1,6.3,6.5,5.9,5.9,5.9,5.9,5.7,5.3,5.2,5.1,5.3,5.3,5.2,4.8,5,4.9,4.7,4.5
National Health Expenditures (Per Capita Amount),146,154,165,178,194,208,227,251,282,315,353,387,430,474,533,603,685,772,859,963,"1,099","1,262","1,408","1,537","1,679","1,822","1,937","2,090","2,321","2,560","2,835","3,065","3,284","3,486","3,641","3,807","3,966","4,141","4,335","4,559","4,842","5,209","5,678","6,112","6,481","6,871","7,266","7,662","7,907","8,132","8,377","8,590","8,860","9,024","9,421","9,860","10,229","10,582","11,042","11,487","12,637","13,137","13,689","14,580","15,474"
     Health Consumption Expenditures,132,138,147,158,172,185,202,226,254,282,316,346,384,426,481,545,622,707,789,887,"1,010","1,161","1,294","1,414","1,550","1,693","1,805","1,946","2,161","2,385","2,643","2,862","3,064","3,254","3,401","3,562","3,718","3,879","4,050","4,256","4,538","4,893","5,325","5,737","6,081","6,445","6,819","7,176","7,392","7,651","7,885","8,080","8,341","8,509","8,921","9,348","9,709","10,022","10,457","10,888","12,036","12,483","13,020","13,889","14,775"
             Personal Health Care,124,130,138,149,161,172,188,211,236,264,297,323,356,394,448,510,577,649,719,811,930,"1,069","1,189","1,298","1,412","1,543","1,663","1,806","1,993","2,180","2,413","2,623","2,806","2,954","3,080","3,234","3,379","3,530","3,687","3,864","4,101","4,414","4,754","5,096","5,413","5,743","6,062","6,386","6,606","6,869","7,054","7,234","7,469","7,600","7,924","8,323","8,636","8,914","9,235","9,676","10,237","10,870","11,360","12,323","13,222"
             Government Administration and Non-Medical Insurance Expenditures,6,6,7,7,8,9,10,10,12,12,12,15,20,22,20,22,30,42,49,52,52,60,69,77,97,103,91,85,106,134,151,153,164,197,209,213,219,221,228,247,285,315,389,455,480,508,553,571,550,541,586,607,626,652,733,760,795,815,920,884,"1,067",971,"1,037","1,098","1,091"
             Government Public Health Activities,2,2,2,3,3,3,4,4,5,6,6,8,9,10,12,13,14,17,20,24,28,32,37,39,41,46,51,55,61,71,79,86,94,102,112,116,120,127,136,146,153,164,182,187,188,194,204,219,236,242,245,239,246,257,264,265,277,293,303,328,732,642,623,468,462
     Investment,14,15,18,19,22,24,25,26,28,34,37,41,46,48,53,58,63,64,70,77,89,101,114,123,129,129,133,145,161,174,192,203,220,232,240,245,248,262,284,302,304,316,353,375,400,426,447,486,515,480,492,510,519,515,500,512,520,560,585,599,601,654,668,691,700
National Health Expenditures as a Percent of Gross Domestic Product (Percent),5,5.2,5.3,5.4,5.6,5.6,5.6,6,6.2,6.4,6.9,7.1,7.2,7.2,7.5,7.9,8.1,8.3,8.2,8.4,8.9,9.2,9.9,10,10,10.1,10.3,10.6,11,11.4,12.1,12.8,13.1,13.3,13.3,13.4,13.3,13.2,13.2,13.2,13.3,14,14.9,15.4,15.5,15.5,15.7,15.9,16.3,17.2,17.2,17.2,17.1,16.9,17.1,17.4,17.7,17.7,17.6,17.7,19.7,18.4,17.6,17.7,18
1U.S. Bureau of the Census.  Census resident-based population less armed forces overseas and population of outlying areas.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2U.S. Department of Commerce, Bureau of Economic Analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE:  Numbers and percents may not add to totals because of rounding.  Dollar amounts shown are in current dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE:  Centers for Medicare & Medicaid Services, Office of the Actuary, National Health Statistics Group;  U.S. Department of Commerce, Bureau of Economic Analysis; and U.S. Bureau of the Census.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
